epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,2493.78,0.48947,0.42052,0.88707,0.90994,0.90018,0.94512,0.8053,0.59531,0.50719,0.96448,0.001218,0.001218,0.001218
68,2530.92,0.48439,0.4135,0.88764,0.93751,0.88426,0.9415,0.80418,0.59048,0.50876,0.95893,0.001191,0.001191,0.001191
69,2568.12,0.48536,0.41505,0.88727,0.92364,0.89425,0.94137,0.80583,0.59157,0.50445,0.96112,0.001164,0.001164,0.001164
70,2605.44,0.48403,0.41398,0.88597,0.92159,0.9023,0.94441,0.80801,0.59249,0.4989,0.95938,0.001137,0.001137,0.001137
71,2642.62,0.4777,0.41105,0.88192,0.92769,0.88734,0.93891,0.80396,0.58756,0.49202,0.95894,0.00111,0.00111,0.00111
72,2679.62,0.48538,0.41098,0.88507,0.92576,0.91209,0.94907,0.81065,0.58582,0.49023,0.95744,0.001083,0.001083,0.001083
73,2716.75,0.47439,0.40042,0.88313,0.94563,0.87762,0.9435,0.80855,0.59012,0.4876,0.96015,0.001056,0.001056,0.001056
74,2753.75,0.47418,0.40389,0.88324,0.93487,0.88975,0.94404,0.80997,0.59107,0.49673,0.95697,0.001029,0.001029,0.001029
75,2790.89,0.47384,0.40311,0.87979,0.90471,0.90682,0.94329,0.79985,0.5889,0.49161,0.96317,0.001002,0.001002,0.001002
76,2827.99,0.46741,0.39473,0.88097,0.93453,0.89441,0.94614,0.80917,0.59616,0.48311,0.96585,0.000975,0.000975,0.000975
77,2864.9,0.46735,0.38754,0.87763,0.91992,0.90356,0.94476,0.8062,0.59211,0.48849,0.9621,0.000948,0.000948,0.000948
78,2901.95,0.46872,0.38949,0.87765,0.92125,0.8948,0.94374,0.80789,0.59719,0.49236,0.96523,0.000921,0.000921,0.000921
79,2939.04,0.46618,0.38631,0.87705,0.92211,0.90724,0.94891,0.81448,0.58823,0.48925,0.95891,0.000894,0.000894,0.000894
80,2976.25,0.46459,0.38167,0.87421,0.9276,0.90181,0.94768,0.81171,0.58892,0.47912,0.96096,0.000867,0.000867,0.000867
81,3013.23,0.46035,0.38172,0.87274,0.94729,0.88282,0.94818,0.80909,0.58673,0.47857,0.95851,0.00084,0.00084,0.00084
82,3050.53,0.45246,0.37592,0.87388,0.93832,0.89129,0.95026,0.81494,0.58164,0.46722,0.95847,0.000813,0.000813,0.000813
83,3087.64,0.45067,0.37641,0.87194,0.92545,0.9069,0.94833,0.81287,0.58725,0.46769,0.96354,0.000786,0.000786,0.000786
84,3124.69,0.4503,0.37454,0.87093,0.93123,0.88668,0.94708,0.81179,0.58648,0.47261,0.96664,0.000759,0.000759,0.000759
85,3161.9,0.45127,0.37207,0.86761,0.91989,0.89388,0.94364,0.80197,0.58825,0.47603,0.96102,0.000732,0.000732,0.000732
86,3199.16,0.44799,0.36741,0.86956,0.91908,0.89986,0.94761,0.81094,0.58717,0.47402,0.95871,0.000705,0.000705,0.000705
87,3236.19,0.44829,0.36963,0.86674,0.9237,0.89879,0.94743,0.80904,0.58939,0.47055,0.96233,0.000678,0.000678,0.000678
88,3273.22,0.44061,0.36889,0.86801,0.93697,0.88368,0.94968,0.81294,0.5844,0.46171,0.96111,0.000651,0.000651,0.000651
89,3310.4,0.44536,0.36634,0.86684,0.94436,0.88679,0.95057,0.81083,0.58403,0.46001,0.96253,0.000624,0.000624,0.000624
90,3347.66,0.43942,0.35979,0.86682,0.92959,0.90744,0.95158,0.81206,0.58524,0.46542,0.95783,0.000597,0.000597,0.000597
91,3385.74,0.43452,0.35764,0.86505,0.93434,0.89454,0.94609,0.80843,0.58922,0.46789,0.96417,0.00057,0.00057,0.00057
92,3422.79,0.4346,0.35856,0.86254,0.93772,0.89502,0.95125,0.8086,0.5953,0.46579,0.96307,0.000543,0.000543,0.000543
93,3459.9,0.43488,0.35566,0.86361,0.93397,0.90054,0.95199,0.80881,0.58493,0.4652,0.95701,0.000516,0.000516,0.000516
94,3497,0.43139,0.3545,0.86309,0.93869,0.90067,0.94951,0.80823,0.58793,0.46135,0.95921,0.000489,0.000489,0.000489
95,3534.39,0.42703,0.35081,0.86033,0.93674,0.89353,0.94775,0.80898,0.58681,0.46074,0.96123,0.000462,0.000462,0.000462
96,3571.44,0.42321,0.34676,0.85844,0.91397,0.90916,0.95046,0.81157,0.58537,0.46129,0.95915,0.000435,0.000435,0.000435
97,3608.46,0.42271,0.34594,0.85394,0.93896,0.89014,0.95016,0.80953,0.58604,0.46009,0.95989,0.000408,0.000408,0.000408
98,3645.67,0.417,0.34158,0.85561,0.94425,0.89461,0.95141,0.81137,0.57989,0.45764,0.95816,0.000381,0.000381,0.000381
99,3682.71,0.42149,0.34239,0.85743,0.94155,0.90269,0.95277,0.81475,0.57754,0.45434,0.95799,0.000354,0.000354,0.000354
100,3719.97,0.41806,0.34134,0.85523,0.94776,0.89568,0.95304,0.81329,0.58012,0.45244,0.95859,0.000327,0.000327,0.000327
