epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2296.46,0.49309,0.42626,0.88834,0.88792,0.88186,0.9361,0.79654,0.60121,0.53333,0.96956,0.00138,0.00138,0.00138
62,2334.15,0.48901,0.4228,0.88776,0.91571,0.87395,0.93335,0.7962,0.60325,0.537,0.97274,0.001353,0.001353,0.001353
63,2371.62,0.48576,0.42097,0.88077,0.89368,0.8931,0.93006,0.79259,0.60886,0.53279,0.97715,0.001326,0.001326,0.001326
64,2409.09,0.4886,0.41951,0.88619,0.90821,0.88044,0.92947,0.79371,0.60733,0.53795,0.9751,0.001299,0.001299,0.001299
65,2446.58,0.48492,0.41448,0.88766,0.90694,0.90522,0.93472,0.79317,0.59939,0.52103,0.97127,0.001272,0.001272,0.001272
66,2484.26,0.48358,0.41265,0.88683,0.90732,0.89626,0.93529,0.79451,0.5968,0.51913,0.97075,0.001245,0.001245,0.001245
67,2521.93,0.47709,0.40752,0.88,0.91918,0.88813,0.93763,0.80236,0.60365,0.51327,0.96947,0.001218,0.001218,0.001218
68,2559.28,0.4701,0.40405,0.88022,0.91863,0.89525,0.93643,0.79465,0.59977,0.51942,0.96826,0.001191,0.001191,0.001191
69,2596.78,0.47363,0.40311,0.87956,0.90989,0.87696,0.93064,0.79305,0.60261,0.5209,0.96819,0.001164,0.001164,0.001164
70,2634.28,0.47299,0.39776,0.88065,0.92347,0.88503,0.93675,0.80465,0.58819,0.50682,0.96579,0.001137,0.001137,0.001137
71,2671.74,0.46917,0.39586,0.87628,0.91431,0.89547,0.93283,0.80126,0.60037,0.50795,0.9669,0.00111,0.00111,0.00111
72,2709.43,0.46877,0.3951,0.87538,0.91527,0.89824,0.93619,0.79896,0.59547,0.50732,0.96765,0.001083,0.001083,0.001083
73,2747.14,0.46236,0.38657,0.87581,0.92167,0.89633,0.93795,0.801,0.58916,0.49992,0.9651,0.001056,0.001056,0.001056
74,2784.5,0.46015,0.38676,0.87476,0.93101,0.8866,0.93641,0.79905,0.59478,0.50499,0.96519,0.001029,0.001029,0.001029
